country,food_category,consumption,co2_emmission,food_division
Albania,Pork,10.88,38.51,Animal
Albania,Poultry,13.23,14.21,Animal
Albania,Beef,22.5,694.3,Animal
Albania,Lamb & Goat,15.32,536.5,Animal
Albania,Fish,3.85,6.15,Animal
Albania,Eggs,12.45,11.44,Animal
Albania,Milk - inc. cheese,303.72,432.62,Non-Animal
Albania,Wheat and Wheat Products,138.64,26.44,Non-Animal
Albania,Rice,7.78,9.96,Non-Animal
Albania,Soybeans,0,0,Non-Animal
Albania,Nuts inc. Peanut Butter,4.36,7.72,Non-Animal
Algeria,Pork,0,0,Animal
Algeria,Poultry,7.42,7.97,Animal
Algeria,Beef,5.6,172.8,Animal
Algeria,Lamb & Goat,7.69,269.3,Animal
Algeria,Fish,3.74,5.97,Animal
Algeria,Eggs,8.06,7.4,Animal
Algeria,Milk - inc. cheese,141.53,201.6,Non-Animal
Algeria,Wheat and Wheat Products,185.42,35.36,Non-Animal
Algeria,Rice,2.97,3.8,Non-Animal
Algeria,Soybeans,0,0,Non-Animal
Algeria,Nuts inc. Peanut Butter,2.08,3.68,Non-Animal
Angola,Pork,8.89,31.47,Animal
Angola,Poultry,17.33,18.62,Animal
Angola,Beef,8.42,259.82,Animal
Angola,Lamb & Goat,1.08,37.82,Animal
Angola,Fish,15.24,24.33,Animal
Angola,Eggs,1.11,1.02,Animal
Angola,Milk - inc. cheese,12.3,17.52,Non-Animal
Angola,Wheat and Wheat Products,40.72,7.77,Non-Animal
Angola,Rice,8.12,10.39,Non-Animal
Angola,Soybeans,0.52,0.23,Non-Animal
Angola,Nuts inc. Peanut Butter,2.26,4,Non-Animal
Argentina,Pork,10.51,37.2,Animal
Argentina,Poultry,38.66,41.53,Animal
Argentina,Beef,55.48,1712,Animal
Argentina,Lamb & Goat,1.56,54.63,Animal
Argentina,Fish,4.36,6.96,Animal
Argentina,Eggs,11.39,10.46,Animal
Argentina,Milk - inc. cheese,195.08,277.87,Non-Animal
Argentina,Wheat and Wheat Products,103.11,19.66,Non-Animal
Argentina,Rice,8.77,11.22,Non-Animal
Argentina,Soybeans,0,0,Non-Animal
Argentina,Nuts inc. Peanut Butter,0.49,0.87,Non-Animal
Armenia,Pork,9.67,34.23,Animal
Armenia,Poultry,13.35,14.34,Animal
Armenia,Beef,19.66,606.67,Animal
Armenia,Lamb & Goat,3.02,105.76,Animal
Armenia,Fish,4.36,6.96,Animal
Armenia,Eggs,11.69,10.74,Animal
Armenia,Milk - inc. cheese,209.03,297.74,Non-Animal
Armenia,Wheat and Wheat Products,130.6,24.91,Non-Animal
Armenia,Rice,3.18,4.07,Non-Animal
Armenia,Soybeans,0,0,Non-Animal
Armenia,Nuts inc. Peanut Butter,2.55,4.51,Non-Animal
Australia,Pork,24.14,85.44,Animal
Australia,Poultry,46.12,49.54,Animal
Australia,Beef,33.86,1044.85,Animal
Australia,Lamb & Goat,9.87,345.65,Animal
Australia,Fish,17.69,28.25,Animal
Australia,Eggs,8.51,7.82,Animal
Australia,Milk - inc. cheese,234.49,334.01,Non-Animal
Australia,Wheat and Wheat Products,70.46,13.44,Non-Animal
Australia,Rice,11.03,14.12,Non-Animal
Australia,Soybeans,0.19,0.09,Non-Animal
Australia,Nuts inc. Peanut Butter,8.73,15.45,Non-Animal
Austria,Pork,52.56,186.04,Animal
Austria,Poultry,18.61,19.99,Animal
Austria,Beef,17.14,528.9,Animal
Austria,Lamb & Goat,1.16,40.62,Animal
Austria,Fish,12.16,19.42,Animal
Austria,Eggs,14.68,13.49,Animal
Austria,Milk - inc. cheese,258.09,367.62,Non-Animal
Austria,Wheat and Wheat Products,81.1,15.47,Non-Animal
Austria,Rice,3.7,4.73,Non-Animal
Austria,Soybeans,2.06,0.93,Non-Animal
Austria,Nuts inc. Peanut Butter,7.88,13.95,Non-Animal
Bahamas,Pork,32.74,115.88,Animal
Bahamas,Poultry,45.74,49.13,Animal
Bahamas,Beef,19.92,614.69,Animal
Bahamas,Lamb & Goat,5.22,182.8,Animal
Bahamas,Fish,18.8,30.02,Animal
Bahamas,Eggs,6.2,5.7,Animal
Bahamas,Milk - inc. cheese,104.76,149.22,Non-Animal
Bahamas,Wheat and Wheat Products,39.98,7.62,Non-Animal
Bahamas,Rice,23.97,30.67,Non-Animal
Bahamas,Soybeans,0.09,0.04,Non-Animal
Bahamas,Nuts inc. Peanut Butter,4.03,7.13,Non-Animal
Bangladesh,Pork,0,0,Animal
Bangladesh,Poultry,1.4,1.5,Animal
Bangladesh,Beef,1.28,39.5,Animal
Bangladesh,Lamb & Goat,1.33,46.58,Animal
Bangladesh,Fish,18.07,28.85,Animal
Bangladesh,Eggs,2.08,1.91,Animal
Bangladesh,Milk - inc. cheese,21.91,31.21,Non-Animal
Bangladesh,Wheat and Wheat Products,17.47,3.33,Non-Animal
Bangladesh,Rice,171.73,219.76,Non-Animal
Bangladesh,Soybeans,0.61,0.27,Non-Animal
Bangladesh,Nuts inc. Peanut Butter,0.72,1.27,Non-Animal
Barbados,Pork,8.3,29.38,Animal
Barbados,Poultry,42.62,45.78,Animal
Barbados,Beef,13.13,405.16,Animal
Barbados,Lamb & Goat,4.08,142.88,Animal
Barbados,Fish,37.41,59.73,Animal
Barbados,Eggs,9.61,8.83,Animal
Barbados,Milk - inc. cheese,110.48,157.37,Non-Animal
Barbados,Wheat and Wheat Products,65.71,12.53,Non-Animal
Barbados,Rice,15.66,20.04,Non-Animal
Barbados,Soybeans,0.1,0.05,Non-Animal
Barbados,Nuts inc. Peanut Butter,4.16,7.36,Non-Animal
Belarus,Pork,40.37,142.89,Animal
Belarus,Poultry,31.29,33.61,Animal
Belarus,Beef,17.11,527.98,Animal
Belarus,Lamb & Goat,0.11,3.85,Animal
Belarus,Fish,15.75,25.15,Animal
Belarus,Eggs,15.86,14.57,Animal
Belarus,Milk - inc. cheese,133.73,190.49,Non-Animal
Belarus,Wheat and Wheat Products,60.48,11.53,Non-Animal
Belarus,Rice,3.17,4.06,Non-Animal
Belarus,Soybeans,0.3,0.14,Non-Animal
Belarus,Nuts inc. Peanut Butter,3.36,5.95,Non-Animal
Belgium,Pork,38.65,136.8,Animal
Belgium,Poultry,12.2,13.11,Animal
Belgium,Beef,15.63,482.31,Animal
Belgium,Lamb & Goat,1.32,46.23,Animal
Belgium,Fish,18.97,30.29,Animal
Belgium,Eggs,12.59,11.57,Animal
Belgium,Milk - inc. cheese,236.19,336.43,Non-Animal
Belgium,Wheat and Wheat Products,111.91,21.34,Non-Animal
Belgium,Rice,8.61,11.02,Non-Animal
Belgium,Soybeans,0.07,0.03,Non-Animal
